Date,Name,Already Added?,Location,Country,Country Name,Month,Scraped?,athletic_links ,Notes
09 Nov 2025,Guang'an marathon,,Guang'an,CHN,China,11,,N/A,
09 Nov 2025,Nanchang Marathon,,Nanchang,CHN,China,11,,N/A,
16 Nov 2025,Changde Liuye Lake Marathon,,Changde,CHN,China,11,,N/A,
16 Nov 2025,Guillin Marathon,,Guilin,CHN,China,11,,N/A,
16 Nov 2025,Nanjing Marathon,,Nanjing,CHN,China,11,,N/A,
16 Nov 2025,Yiwu Half Marathon,,Yiwu,CHN,China,11,,N/A,
23 Nov 2025,China-Asean Marathon,,Fangchenggang,CHN,China,11,,N/A,
23 Nov 2025,Shaoxing Marathon,,Shaoxing,CHN,China,11,,N/A,
23 Nov 2025,Suzhou Jinji Lake Half Marathon,,Suzhou,CHN,China,11,,N/A,
23 Nov 2025,Xinyu fairy lake marathon,,Xinyu,CHN,China,11,,N/A,
23 Nov 2025,Zhoushan Islands Marathon,,Zhoushan,CHN,China,11,,N/A,
30 Nov 2025,Beirut Marathon,,Beirut,LBN,Lebanon,11,,N/A,
30 Nov 2025,Marathon COMAR de Tunis-Carthage,,Tunis,TUN,Tunisia,11,,N/A,
30 Nov 2025,Shanghai Marathon,,Shanghai,CHN,China,11,,N/A,
30 Nov 2025,Xiamen Haicang Half Marathon,,Xiamen,CHN,China,11,,N/A,
07 Dec 2025,56th Hofu Yomiuri Marathon,,Hofu,JPN,Japan,12,,N/A,
07 Dec 2025,Course de l'Escalade,,Genève,SUI,Switzerland,12,,N/A,
07 Dec 2025,Fukuoka International Marathon,,Fukuoka,JPN,Japan,12,,N/A,
07 Dec 2025,Huangshi Half Marathon,,Huangshi,CHN,China,12,,N/A,
07 Dec 2025,Maratón Valencia Trinidad Alfonso Zurich,,Valencia,ESP,Spain,12,,https://www.athlinks.com/event/34792/results/Event/1097892/Results,
07 Dec 2025,Nanning Marathon,,Nanning,CHN,China,12,,N/A,
07 Dec 2025,Shenzhen Marathon,,Shenzhen,CHN,China,12,,N/A,
07 Dec 2025,Standard Chartered Singapore Marathon,,Singapore,SGP,Singapore,12,,https://www.athlinks.com/event/34439/results/Event/1067776/Results,
07 Dec 2025,Xtep Jinjiang Marathon,,Jinjiang,CHN,China,12,,N/A,
14 Dec 2025,7th IInternational Mersin Marathon,,Mersin,TUR,Turkey,12,,N/A,
14 Dec 2025,Fuzhou Marathon,,Fuzhou,CHN,China,12,,N/A,
14 Dec 2025,Generali Maratón de Málaga,,Málaga,ESP,Spain,12,,https://www.athlinks.com/event/163668/results/Event/1104142/Results,
14 Dec 2025,Shenzhen Nanshan Half Marathon,,Shenzhen,CHN,China,12,,N/A,
21 Dec 2025,Guangzhou Marathon,,Guangzhou,CHN,China,12,,N/A,
21 Dec 2025,Hainan Danzhou Marathon,,Danzhou,CHN,China,12,,N/A,
21 Dec 2025,Taipei Marathon,,Taipei City,TPE,Taipei,12,,https://www.athlinks.com/event/34450/results/Event/1082306/Results,
21 Dec 2025,Tata Steel World 25K Kolkata,,Kolkata,IND,India,12,,STS,
31 Dec 2025,BOclassic Alto Adige,,Bolzano,ITA,Italy,12,,N/A,
31 Dec 2025,BOclassic Alto Adige - 10km,,Bolzano,ITA,Italy,12,,N/A,
31 Dec 2025,Nationale-Nederlanden San Silvestre Vallecana,,Madrid,ESP,Spain,12,,N/A,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,The ones in yellow should already be scraped in the first round,,,,,,,,
