master_event_id,event_id,local_count,api_count,percentage_missing,missing
103050,122794,10387,11884,12.596768764725681,Yes
34518,603542,15894,15894,0.0,No
95020,48295,14271,20526,30.473545746857646,Yes
95020,1108738,0,0,0.0,No
